id,content_type_id,codename,name
1,2,add_image,Can add image
2,2,change_image,Can change image
3,2,delete_image,Can delete image
4,2,choose_image,Can choose image
5,3,access_admin,Can access Wagtail admin
6,5,add_document,Can add document
7,5,change_document,Can change document
8,5,delete_document,Can delete document
9,5,choose_document,Can choose document
10,7,add_articleindexpage,Can add Article Landing Page
11,7,change_articleindexpage,Can change Article Landing Page
12,7,delete_articleindexpage,Can delete Article Landing Page
13,7,view_articleindexpage,Can view Article Landing Page
14,8,add_formpage,Can add Form
15,8,change_formpage,Can change Form
16,8,delete_formpage,Can delete Form
17,8,view_formpage,Can view Form
18,6,add_webpage,Can add Web Page
19,6,change_webpage,Can change Web Page
20,6,delete_webpage,Can delete Web Page
21,6,view_webpage,Can view Web Page
22,9,add_formpagefield,Can add form page field
23,9,change_formpagefield,Can change form page field
24,9,delete_formpagefield,Can delete form page field
25,9,view_formpagefield,Can view form page field
26,10,add_formconfirmemail,Can add CodeRed Email
27,10,change_formconfirmemail,Can change CodeRed Email
28,10,delete_formconfirmemail,Can delete CodeRed Email
29,10,view_formconfirmemail,Can view CodeRed Email
30,11,add_articlepage,Can add Article
31,11,change_articlepage,Can change Article
32,11,delete_articlepage,Can delete Article
33,11,view_articlepage,Can view Article
34,12,add_adasettings,Can add Accessibility
35,12,change_adasettings,Can change Accessibility
36,12,delete_adasettings,Can delete Accessibility
37,12,view_adasettings,Can view Accessibility
38,13,add_analyticssettings,Can add Tracking
39,13,change_analyticssettings,Can change Tracking
40,13,delete_analyticssettings,Can delete Tracking
41,13,view_analyticssettings,Can view Tracking
42,14,add_carousel,Can add Carousel
43,14,change_carousel,Can change Carousel
44,14,delete_carousel,Can delete Carousel
45,14,view_carousel,Can view Carousel
46,15,add_carouselslide,Can add Carousel Slide
47,15,change_carouselslide,Can change Carousel Slide
48,15,delete_carouselslide,Can delete Carousel Slide
49,15,view_carouselslide,Can view Carousel Slide
50,16,add_coderedpage,Can add CodeRed Page
51,16,change_coderedpage,Can change CodeRed Page
52,16,delete_coderedpage,Can delete CodeRed Page
53,16,view_coderedpage,Can view CodeRed Page
54,17,add_footer,Can add Footer
55,17,change_footer,Can change Footer
56,17,delete_footer,Can delete Footer
57,17,view_footer,Can view Footer
58,18,add_generalsettings,Can add General
59,18,change_generalsettings,Can change General
60,18,delete_generalsettings,Can delete General
61,18,view_generalsettings,Can view General
62,19,add_layoutsettings,Can add Layout
63,19,change_layoutsettings,Can change Layout
64,19,delete_layoutsettings,Can delete Layout
65,19,view_layoutsettings,Can view Layout
66,20,add_navbar,Can add Navigation Bar
67,20,change_navbar,Can change Navigation Bar
68,20,delete_navbar,Can delete Navigation Bar
69,20,view_navbar,Can view Navigation Bar
70,21,add_socialmediasettings,Can add Social Media
71,21,change_socialmediasettings,Can change Social Media
72,21,delete_socialmediasettings,Can delete Social Media
73,21,view_socialmediasettings,Can view Social Media
74,22,add_contentwall,Can add Content Wall
75,22,change_contentwall,Can change Content Wall
76,22,delete_contentwall,Can delete Content Wall
77,22,view_contentwall,Can view Content Wall
78,23,add_reusablecontent,Can add Reusable Content
79,23,change_reusablecontent,Can change Reusable Content
80,23,delete_reusablecontent,Can delete Reusable Content
81,23,view_reusablecontent,Can view Reusable Content
82,24,add_googleapisettings,Can add Google API
83,24,change_googleapisettings,Can change Google API
84,24,delete_googleapisettings,Can delete Google API
85,24,view_googleapisettings,Can view Google API
86,25,add_coderedtag,Can add CodeRed Tag
87,25,change_coderedtag,Can change CodeRed Tag
88,25,delete_coderedtag,Can delete CodeRed Tag
89,25,view_coderedtag,Can view CodeRed Tag
90,26,add_mailchimpapisettings,Can add Mailchimp API
91,26,change_mailchimpapisettings,Can change Mailchimp API
92,26,delete_mailchimpapisettings,Can delete Mailchimp API
93,26,view_mailchimpapisettings,Can view Mailchimp API
94,27,add_classifier,Can add Classifier
95,27,change_classifier,Can change Classifier
96,27,delete_classifier,Can delete Classifier
97,27,view_classifier,Can view Classifier
98,28,add_classifierterm,Can add Classifier Term
99,28,change_classifierterm,Can change Classifier Term
100,28,delete_classifierterm,Can delete Classifier Term
101,28,view_classifierterm,Can view Classifier Term
102,29,add_coderedsubmissionrevision,Can add codered submission revision
103,29,change_coderedsubmissionrevision,Can change codered submission revision
104,29,delete_coderedsubmissionrevision,Can delete codered submission revision
105,29,view_coderedsubmissionrevision,Can view codered submission revision
106,30,add_coderedsessionformsubmission,Can add form submission
107,30,change_coderedsessionformsubmission,Can change form submission
