id,app,name,applied
1,contenttypes,0001_initial,2021-12-17 08:17:05.400162
2,auth,0001_initial,2021-12-17 08:17:05.430809
3,admin,0001_initial,2021-12-17 08:17:05.441004
4,admin,0002_logentry_remove_auto_add,2021-12-17 08:17:05.460677
5,admin,0003_logentry_add_action_flag_choices,2021-12-17 08:17:05.481001
6,contenttypes,0002_remove_content_type_name,2021-12-17 08:17:05.520613
7,auth,0002_alter_permission_name_max_length,2021-12-17 08:17:05.536857
8,auth,0003_alter_user_email_max_length,2021-12-17 08:17:05.553454
9,auth,0004_alter_user_username_opts,2021-12-17 08:17:05.565989
10,auth,0005_alter_user_last_login_null,2021-12-17 08:17:05.585089
11,auth,0006_require_contenttypes_0002,2021-12-17 08:17:05.590594
12,auth,0007_alter_validators_add_error_messages,2021-12-17 08:17:05.605705
13,auth,0008_alter_user_username_max_length,2021-12-17 08:17:05.620771
14,auth,0009_alter_user_last_name_max_length,2021-12-17 08:17:05.640850
15,auth,0010_alter_group_name_max_length,2021-12-17 08:17:05.650376
16,auth,0011_update_proxy_permissions,2021-12-17 08:17:05.665738
17,auth,0012_alter_user_first_name_max_length,2021-12-17 08:17:05.680801
18,wagtailcore,0001_initial,2021-12-17 08:17:05.984902
19,wagtailcore,0002_initial_data,2021-12-17 08:17:05.984902
20,wagtailcore,0003_add_uniqueness_constraint_on_group_page_permission,2021-12-17 08:17:05.991953
21,wagtailcore,0004_page_locked,2021-12-17 08:17:05.991953
22,wagtailcore,0005_add_page_lock_permission_to_moderators,2021-12-17 08:17:05.991953
23,wagtailcore,0006_add_lock_page_permission,2021-12-17 08:17:06.000051
24,wagtailcore,0007_page_latest_revision_created_at,2021-12-17 08:17:06.000051
25,wagtailcore,0008_populate_latest_revision_created_at,2021-12-17 08:17:06.000051
26,wagtailcore,0009_remove_auto_now_add_from_pagerevision_created_at,2021-12-17 08:17:06.008052
27,wagtailcore,0010_change_page_owner_to_null_on_delete,2021-12-17 08:17:06.008052
28,wagtailcore,0011_page_first_published_at,2021-12-17 08:17:06.008052
29,wagtailcore,0012_extend_page_slug_field,2021-12-17 08:17:06.016053
30,wagtailcore,0013_update_golive_expire_help_text,2021-12-17 08:17:06.016053
31,wagtailcore,0014_add_verbose_name,2021-12-17 08:17:06.016053
32,wagtailcore,0015_add_more_verbose_names,2021-12-17 08:17:06.024055
33,wagtailcore,0016_change_page_url_path_to_text_field,2021-12-17 08:17:06.024055
34,wagtailcore,0017_change_edit_page_permission_description,2021-12-17 08:17:06.040562
35,wagtailcore,0018_pagerevision_submitted_for_moderation_index,2021-12-17 08:17:06.080248
36,wagtailcore,0019_verbose_names_cleanup,2021-12-17 08:17:06.132545
37,wagtailcore,0020_add_index_on_page_first_published_at,2021-12-17 08:17:06.160680
38,wagtailcore,0021_capitalizeverbose,2021-12-17 08:17:06.533523
39,wagtailcore,0022_add_site_name,2021-12-17 08:17:06.552631
40,wagtailcore,0023_alter_page_revision_on_delete_behaviour,2021-12-17 08:17:06.571084
41,wagtailcore,0024_collection,2021-12-17 08:17:06.580890
42,wagtailcore,0025_collection_initial_data,2021-12-17 08:17:06.590345
