name,seq
django_migrations,188
django_admin_log,0
django_content_type,66
auth_permission,263
auth_group,2
auth_user,3
wagtailcore_collection,1
auth_group_permissions,16
wagtailcore_groupcollectionpermission,10
wagtailcore_pageviewrestriction,0
coderedcms_generalsettings,1
coderedcms_carouselslide,0
coderedcms_contentwall,0
coderedcms_footer,1
coderedcms_reusablecontent,1
coderedcms_analyticssettings,1
wagtailcore_pagerevision,41
wagtailcore_grouppagepermission,7
wagtailcore_site,2
wagtailcore_task,1
wagtailcore_groupapprovaltask_groups,1
wagtailcore_workflow,1
wagtailcore_workflowtask,1
wagtailcore_workflowstate,0
wagtailcore_taskstate,0
wagtailcore_locale,1
wagtailcore_page,12
wagtaildocs_document,1
wagtailembeds_embed,0
wagtailredirects_redirect,0
wagtailsearch_editorspick,0
wagtailseo_seosettings,1
wagtailusers_userprofile,3
coderedcms_layoutsettings,1
coderedcms_adasettings,1
wagtailimages_image,16
wagtailimages_rendition,59
website_formpagefield,2
wagtailcore_pagelogentry,86
wagtailcore_pagesubscription,10
coderedcms_navbar,1
