id,file,width,height,focal_point_key,filter_spec,image_id
1,images/Bull.max-165x165.png,158,165,,max-165x165,1
2,images/Bull.max-300x300.png,288,300,,max-300x300,1
3,images/Bull.original.png,880,914,,original,1
4,images/Bull.2e16d0ba.fill-120x120.format-png.png,120,120,2e16d0ba,fill-120x120|format-png,1
5,images/Bull.2e16d0ba.fill-180x180.format-png.png,180,180,2e16d0ba,fill-180x180|format-png,1
6,images/Bull.2e16d0ba.fill-152x152.format-png.png,152,152,2e16d0ba,fill-152x152|format-png,1
7,images/Bull.2e16d0ba.fill-167x167.format-png.png,167,167,2e16d0ba,fill-167x167|format-png,1
18,images/Bull.max-800x600.png,577,600,,max-800x600,1
19,images/Bubble.max-165x165.png,165,133,,max-165x165,5
20,images/Bubble.max-2000x2000.png,2000,1616,,max-2000x2000,5
21,images/Bull.max-1000x1000.png,880,914,,max-1000x1000,1
36,images/Pupuk1.max-165x165.jpg,153,165,,max-165x165,11
39,images/Pupuk1.max-1000x1000.jpg,326,351,,max-1000x1000,11
40,images/Pupuk1.2e16d0ba.fill-900x600.jpg,326,219,2e16d0ba,fill-900x600,11
46,images/Temp-TA.max-165x165.jpg,165,22,,max-165x165,13
47,images/Temp-TA.original.jpg,985,135,,original,13
48,images/Temp-TA.2e16d0ba.fill-2000x1000.jpg,271,135,2e16d0ba,fill-2000x1000,13
49,images/Chicken_Mentai.max-165x165.jpg,165,109,,max-165x165,14
50,images/Chicken_Mentai.2e16d0ba.fill-900x600.jpg,900,600,2e16d0ba,fill-900x600,14
51,images/Ayam_Utuh.max-165x165.jpg,165,109,,max-165x165,15
52,images/Ayam_Jawa.max-165x165.jpg,165,109,,max-165x165,16
53,images/Ayam_Jawa.2e16d0ba.fill-900x600.jpg,900,600,2e16d0ba,fill-900x600,16
54,images/Ayam_Utuh.2e16d0ba.fill-900x600.jpg,900,600,2e16d0ba,fill-900x600,15
